;dataset_name;dataset_size;dataset_random_seed;algorithm_name;algorithm_random_seed;time_start;time_stop;time_total
../experiments/preprocessing/bank_cards_v2-size_1000-rand_5/simple_prep-rand_2/;bank_cards_v2;1000;5;simple_prep;2;1668606190;1668606197;6,672749043
../experiments/preprocessing/bank_cards_v2-size_1000-rand_5/simple_prep-rand_3/;bank_cards_v2;1000;5;simple_prep;3;1668606196;1668606202;6,693686008
../experiments/preprocessing/bank_cards_v2-size_1000-rand_5/simple_prep-rand_4/;bank_cards_v2;1000;5;simple_prep;4;1668606196;1668606203;6,676120043
../experiments/preprocessing/bank_cards_v2-size_1000-rand_5/simple_prep-rand_5/;bank_cards_v2;1000;5;simple_prep;5;1668606202;1668606209;6,860560179
../experiments/preprocessing/bank_cards_v2-size_2000-rand_1/filter_prep-rand_1/;bank_cards_v2;2000;1;filter_prep;1;1668606203;1668606217;13,51369905
../experiments/preprocessing/bank_cards_v2-size_2000-rand_1/filter_prep-rand_2/;bank_cards_v2;2000;1;filter_prep;2;1668606209;1668606223;13,73721719
../experiments/preprocessing/bank_cards_v2-size_2000-rand_1/filter_prep-rand_3/;bank_cards_v2;2000;1;filter_prep;3;1668606216;1668606229;13,29869199
../experiments/preprocessing/bank_cards_v2-size_2000-rand_1/filter_prep-rand_4/;bank_cards_v2;2000;1;filter_prep;4;1668606217;1668606230;13,18184996
../experiments/preprocessing/bank_cards_v2-size_2000-rand_1/filter_prep-rand_5/;bank_cards_v2;2000;1;filter_prep;5;1668606223;1668606236;13,31650805
../experiments/preprocessing/bank_cards_v2-size_2000-rand_1/lemma_prep-rand_1/;bank_cards_v2;2000;1;lemma_prep;1;1668606203;1668606216;13,543648
../experiments/preprocessing/bank_cards_v2-size_2000-rand_1/lemma_prep-rand_2/;bank_cards_v2;2000;1;lemma_prep;2;1668606203;1668606217;13,46888494
../experiments/preprocessing/bank_cards_v2-size_2000-rand_1/lemma_prep-rand_3/;bank_cards_v2;2000;1;lemma_prep;3;1668606209;1668606223;13,68963981
../experiments/preprocessing/bank_cards_v2-size_2000-rand_1/lemma_prep-rand_4/;bank_cards_v2;2000;1;lemma_prep;4;1668606217;1668606230;13,13305521
